Words,Rank,Frequency
nan,1,6129
Routine.,2,6
"Okay, no more.",3,3
Martial arts adventure.,4,3
Small peanuts.,5,3
Anything but.,6,3
Standard.,7,3
Erotica.,8,3
No better than she should be.,9,2
No review,10,2
Business as usual.,11,2
"“Rubberneck” and “Red Flag,” two wispy, downbeat movies, were written and directed by Alex Karpovsky, the actor who plays Ray the barrista on the HBO show “Girls.”",12,2
"No more, no less.",13,2
For the birds.,14,2
"Tamely amusing, extremely dated.",15,2
The girls help. Some.,16,2
Not reviewed by us.,17,2
Ghosts of maritime tragedy haunt lighthouse keeper. Strays down tortuous paths.,18,2
Medium.,19,2
Baloney.,20,2
Sinks.,21,2
"Brilliant, brooding and strong, via John Huston, Magnetic Monty.",22,2
Passable.,23,2
Parched.,24,2
Martial-arts adventure.,25,2
New to us.,26,2
Skip it.,27,2
Save the pieces.,28,2
Awful.,29,2
The one and only.,30,2
From hunger.,31,2
"Doomed daughter of outcast Mexican peasant. Static sorrow, in Spanish.",32,2
So-so.,33,2
Issues of sovereignty in the Middle East are revisited in a pair of documentaries.,34,2
Not so hot.,35,2
Don't.,36,2
"Down, boy.",37,2
"In Terence Davies’s film, scenes of Scottish rural life are stitched together in a slow-moving story rife with both natural beauty and tragedy.",38,1
"&quot;Charlie's Angels&quot; is dedicated to the proposition that you can have your cheesecake and eat it, too. Its three heroines, played with varying degrees of swagger and sultriness by Cameron Diaz, Lucy Liu and Drew Barrymore, are meant to appeal both to teenage girls, who will admire their professionalism and fighting spirit, and to teenage boys, who will find other things about them to admire. Unfortunately, this loud, trashy updating of the 70's television show isn't as much fun as it should be, despite Ms. Diaz's spirited comic performance. The Hong Kong-style action sequences are lamely edited and staged, and the film swings wildly between tiresome intentional self-parody and the unintentional kind, which is even more annoying. &#151; A. O. Scott",39,1
"This one, a colorful melodrama, launched Ladd. He's quite effective as hit-man loner.",40,1
"Calling all horror addicts, for something different and devastating. Snow White lured into hell, and we're not kidding. And from North Carolina, of all places.",41,1
Keith Haring was not a great artist. He might not even have been a very good one. But he was the right person in the right place at the right time.,42,1
"Dial away, quick.",43,1
"A mild but amusing remake of &quot;Here Comes Mr. Jordan.&quot; This time the not-so-bright guy who dies so that he can learn a spiritual lesson is Lance, a failed comedian (Chris Rock), who comes back as a pudgy white plutocrat whose chad probably fell for Dubya. The plot complications include Lance's trying to court an African-American social activist (Regina King) while he's trapped in the body of a white man, and still get onstage at the Apollo. There are a few funny ideas, which are reminiscent of the deadly riffing that Rock is capable of, and he shows new confidence as an actor. This picture, by the directors of &quot;American Pie,&quot; doesn't quite work as a romantic comedy: it's a little timid and recycled, despite some great supporting performances by Eugene Levy, Wanda Sykes and Mark Addy. — Elvis Mitchell",44,1
German war prison in France.,45,1
“Bert Stern: Original Mad Man” is Shannah Laumeister’s profile of the photographer she met at 13 and whose muse she would eventually become.,46,1
"Werewolf threat in New York. Ferocious, well-made thriller.",47,1
Arms smugglers. No surprises.,48,1
"In “3D Sex and Zen: Extreme Ecstasy,” said to be based on an ancient Chinese tale, the sex looks rather nonecstatic.",49,1
Geeky teenage lovers on rampage. Well made but repellent.,50,1
"Offbeat, above-average western.",51,1
Sticky but engaging tale of a reforming gangster.,52,1
"“Dark Touch” centers on a young girl, who may be the victim or instigator of the supernatural mayhem around her.",53,1
"In “The Prisoner,” an Iraqi journalist shares his anguish, his outrage, his fear, his despair, his hope...his Iraq.",54,1
"Two French exiles find love and hope in Mexican village. Evocative, atmospheric, beautifully played. Good star chemistry.",55,1
"Headstrong girl lures straying husband on French Riviera. Scenic but surface irony, via Sagan novel. Nice title tune survived.",56,1
"In “The Words,” a novelist comes up with the story of a writer who plagiarized yet another writer. Where did that come from?",57,1
Comedy about big-league pitcher and Mexican bride.,58,1
